,index,grade,exam_attempts,female,bugs,duplications(%),vulnerabilities,code smells,security hotspots,static_code_analysis,versioning,academic_year,number_of_code_lines,online,team,language,pass_quality_gate
0,0,10,2,1,201,11.0,0,1900,6,0,1,3,32000,0,1,.net,1
1,1,10,2,1,201,11.0,0,1900,6,0,1,3,32000,0,1,.net,1
2,2,10,2,1,201,11.0,0,1900,6,0,1,3,32000,0,1,.net,1
3,3,10,2,1,201,11.0,0,1900,6,0,1,3,32000,0,1,.net,1
4,4,8,2,1,6,18.0,0,545,12,0,1,3,23000,0,1,.net,1
5,5,8,2,0,6,18.0,0,545,12,0,1,3,23000,0,1,.net,1
6,6,8,2,0,6,18.0,0,545,12,0,1,3,23000,0,1,.net,1
7,7,7,2,0,6,18.0,0,545,12,0,1,3,23000,0,1,.net,1
8,8,10,1,0,39,0.8,0,1100,17,0,1,3,19000,0,1,.net,1
9,9,10,1,0,39,0.8,0,1100,17,0,1,3,19000,0,1,.net,1
10,10,8,1,0,39,0.8,0,1100,17,0,1,3,19000,0,1,.net,1
11,11,10,1,1,39,0.8,0,1100,17,0,1,3,19000,0,1,.net,1
12,12,9,2,1,1,5.3,0,467,6,0,1,3,20000,0,1,.net,0
13,13,10,2,1,1,5.3,0,467,6,0,1,3,20000,0,1,.net,0
14,14,8,2,0,1,5.3,0,467,6,0,1,3,20000,0,1,.net,0
15,15,10,2,1,1,5.3,0,467,6,0,1,3,20000,0,1,.net,0
16,16,10,3,0,22,4.9,0,1200,8,0,1,3,27000,0,1,.net,1
17,17,10,3,0,22,4.9,0,1200,8,0,1,3,27000,0,1,.net,1
18,18,10,3,0,22,4.9,0,1200,8,0,1,3,27000,0,1,.net,1
19,19,10,3,0,22,4.9,0,1200,8,0,1,3,27000,0,1,.net,1
20,20,7,3,0,22,6.1,0,784,8,0,1,3,17000,0,1,.net,1
21,21,8,3,0,22,6.1,0,784,8,0,1,3,17000,0,1,.net,1
22,22,7,3,0,22,6.1,0,784,8,0,1,3,17000,0,1,.net,1
23,23,6,3,0,22,6.1,0,784,8,0,1,3,17000,0,1,.net,1
24,24,8,2,0,23,12.6,0,764,5,0,1,3,23000,0,1,.net,0
25,25,8,2,0,23,12.6,0,764,5,0,1,3,23000,0,1,.net,0
26,26,10,2,1,23,12.6,0,764,5,0,1,3,23000,0,1,.net,0
27,27,10,2,0,23,12.6,0,764,5,0,1,3,23000,0,1,.net,0
28,28,9,1,0,19,3.5,0,1000,1,0,1,3,19000,0,1,.net,0
29,29,9,1,0,19,3.5,0,1000,1,0,1,3,19000,0,1,.net,0
30,30,7,1,0,19,3.5,0,1000,1,0,1,3,19000,0,1,.net,0
31,31,7,1,0,19,3.5,0,1000,1,0,1,3,19000,0,1,.net,0
32,32,10,1,0,13,1.7,0,687,1,0,1,3,18000,0,1,.net,0
33,33,8,1,0,13,1.7,0,687,1,0,1,3,18000,0,1,.net,0
34,34,9,1,1,13,1.7,0,687,1,0,1,3,18000,0,1,.net,0
35,35,7,1,1,13,1.7,0,687,1,0,1,3,18000,0,1,.net,0
36,36,7,2,0,7,4.5,0,518,2,0,1,3,11000,0,1,.net,0
37,37,7,2,0,7,4.5,0,518,2,0,1,3,11000,0,1,.net,0
38,38,6,2,1,7,4.5,0,518,2,0,1,3,11000,0,1,.net,0
39,39,10,2,0,7,4.5,0,518,2,0,1,3,11000,0,1,.net,0
40,40,10,3,0,23,6.7,0,851,4,0,1,3,22000,0,1,.net,0
41,41,8,3,1,23,6.7,0,851,4,0,1,3,22000,0,1,.net,0
42,42,8,3,0,23,6.7,0,851,4,0,1,3,22000,0,1,.net,0
43,43,8,3,1,23,6.7,0,851,4,0,1,3,22000,0,1,.net,0
44,44,8,1,1,4,2.4,0,711,4,0,1,3,15000,0,1,.net,1
45,45,8,1,1,4,2.4,0,711,4,0,1,3,15000,0,1,.net,1
46,46,8,1,1,4,2.4,0,711,4,0,1,3,15000,0,1,.net,1
47,47,8,1,0,4,2.4,0,711,4,0,1,3,15000,0,1,.net,1
48,48,6,1,1,14,2.5,0,677,6,0,1,3,14000,0,1,.net,1
49,49,6,1,1,14,2.5,0,677,6,0,1,3,14000,0,1,.net,1
50,50,9,1,0,14,2.5,0,677,6,0,1,3,14000,0,1,.net,1
51,51,9,1,0,14,2.5,0,677,6,0,1,3,14000,0,1,.net,1
52,52,6,3,1,32,5.7,0,583,3,0,1,3,17000,0,1,.net,1
53,53,7,3,0,32,5.7,0,583,3,0,1,3,17000,0,1,.net,1
54,54,7,3,0,32,5.7,0,583,3,0,1,3,17000,0,1,.net,1
55,55,10,3,0,32,5.7,0,583,3,0,1,3,17000,0,1,.net,1
56,56,10,2,0,14,0.7,0,877,4,0,1,4,17000,0,1,.net,1
57,57,9,2,0,14,0.7,0,877,4,0,1,4,17000,0,1,.net,1
58,58,10,2,0,14,0.7,0,877,4,0,1,4,17000,0,1,.net,1
59,59,10,2,0,14,0.7,0,877,4,0,1,4,17000,0,1,.net,1
60,60,10,2,0,14,0.7,0,877,4,0,1,4,17000,0,1,.net,1
61,61,10,2,0,14,0.7,0,877,4,0,1,4,17000,0,1,.net,1
62,62,10,2,0,14,0.7,0,877,4,0,1,4,17000,0,1,.net,1
63,63,10,2,0,14,0.7,0,877,4,0,1,4,17000,0,1,.net,1
64,64,10,2,0,14,0.7,0,877,4,0,1,4,17000,0,1,.net,1
65,65,9,2,0,14,0.7,0,877,4,0,1,4,17000,0,1,.net,1
66,66,10,2,0,14,0.7,0,877,4,0,1,4,17000,0,1,.net,1
67,67,10,2,0,14,0.7,0,877,4,0,1,4,17000,0,1,.net,1
68,68,9,2,0,14,0.7,0,877,4,0,1,4,17000,0,1,.net,1
69,69,9,2,0,14,0.7,0,877,4,0,1,4,17000,0,1,.net,1
70,70,9,2,0,14,0.7,0,877,4,0,1,4,17000,0,1,.net,1
71,71,7,2,0,14,0.7,0,877,4,0,1,4,17000,0,1,.net,1
72,72,9,3,0,3,6.1,0,422,1,0,1,4,10000,0,1,.net,0
73,73,10,3,1,3,6.1,0,422,1,0,1,4,10000,0,1,.net,1
74,74,10,3,0,3,6.1,0,422,1,0,1,4,10000,0,1,.net,0
75,75,8,3,0,3,6.1,0,422,1,0,1,4,10000,0,1,.net,0
76,76,8,3,1,3,6.1,0,422,1,0,1,4,10000,0,1,.net,0
77,77,9,3,0,3,6.1,0,422,1,0,1,4,10000,0,1,.net,0
78,78,10,3,0,3,6.1,0,422,1,0,1,4,10000,0,1,.net,1
79,79,10,3,0,3,6.1,0,422,1,0,1,4,10000,0,1,.net,0
80,80,10,3,0,3,6.1,0,422,1,0,1,4,10000,0,1,.net,0
81,81,9,3,0,3,6.1,0,422,1,0,1,4,10000,0,1,.net,1
82,82,9,3,0,3,6.1,0,422,1,0,1,4,10000,0,1,.net,1
83,83,9,3,1,3,6.1,0,422,1,0,1,4,10000,0,1,.net,1
84,84,7,3,1,3,6.1,0,422,1,0,1,4,10000,0,1,.net,1
85,85,9,3,1,3,6.1,0,422,1,0,1,4,10000,0,1,.net,0
86,86,9,3,0,3,6.1,0,422,1,0,1,4,10000,0,1,.net,0
87,87,10,3,0,3,6.1,0,422,1,0,1,4,10000,0,1,.net,0
88,88,6,2,0,23,1.4,0,414,5,0,1,4,11000,0,1,.net,0
89,89,6,2,0,23,1.4,0,414,5,0,1,4,11000,0,1,.net,0
90,90,6,2,0,23,1.4,0,414,5,0,1,4,11000,0,1,.net,1
91,91,6,2,0,23,1.4,0,414,5,0,1,4,11000,0,1,.net,1
92,92,9,2,1,23,1.4,0,414,5,0,1,4,11000,0,1,.net,0
93,93,9,2,1,23,1.4,0,414,5,0,1,4,11000,0,1,.net,0
94,94,7,2,0,23,1.4,0,414,5,0,1,4,11000,0,1,.net,1
95,95,7,2,0,23,1.4,0,414,5,0,1,4,11000,0,1,.net,0
96,96,7,2,1,23,1.4,0,414,5,0,1,4,11000,0,1,.net,1
97,97,9,2,1,23,1.4,0,414,5,0,1,4,11000,0,1,.net,0
98,98,9,2,1,23,1.4,0,414,5,0,1,4,11000,0,1,.net,0
99,99,9,2,1,23,1.4,0,414,5,0,1,4,11000,0,1,.net,1
100,100,10,2,1,23,1.4,0,414,5,0,1,4,11000,0,1,.net,0
101,101,10,2,0,23,1.4,0,414,5,0,1,4,11000,0,1,.net,1
102,102,9,2,0,23,1.4,0,414,5,0,1,4,11000,0,1,.net,0
103,103,8,2,0,23,1.4,0,414,5,0,1,4,11000,0,1,.net,0
104,104,5,2,1,23,1.4,0,414,5,0,1,4,11000,0,1,.net,0
105,105,10,2,0,4,0.0,0,578,4,0,1,4,11000,0,1,.net,0
106,106,9,2,0,4,0.0,0,578,4,0,1,4,11000,0,1,.net,0
107,107,8,2,0,4,0.0,0,578,4,0,1,4,11000,0,1,.net,1
108,108,5,2,0,4,0.0,0,578,4,0,1,4,11000,0,1,.net,0
109,109,8,2,0,4,0.0,0,578,4,0,1,4,11000,0,1,.net,0
110,110,7,2,0,4,0.0,0,578,4,0,1,4,11000,0,1,.net,0
111,111,9,2,0,4,0.0,0,578,4,0,1,4,11000,0,1,.net,0
112,112,6,2,0,4,0.0,0,578,4,0,1,4,11000,0,1,.net,0
113,113,10,2,0,4,0.0,0,578,4,0,1,4,11000,0,1,.net,0
114,114,10,2,0,4,0.0,0,578,4,0,1,4,11000,0,1,.net,0
115,115,7,2,0,4,0.0,0,578,4,0,1,4,11000,0,1,.net,0
116,116,7,2,0,4,0.0,0,578,4,0,1,4,11000,0,1,.net,0
117,117,5,2,1,4,0.0,0,578,4,0,1,4,11000,0,1,.net,0
118,118,8,2,0,4,0.0,0,578,4,0,1,4,11000,0,1,.net,0
119,119,7,2,0,4,0.0,0,578,4,0,1,4,11000,0,1,.net,0
120,120,6,2,0,4,0.0,0,578,4,0,1,4,11000,0,1,.net,0
121,121,10,1,0,1,1.4,0,573,4,0,1,4,12000,0,1,.net,0
122,122,8,1,1,1,1.4,0,573,4,0,1,4,12000,0,1,.net,0
123,123,8,1,0,1,1.4,0,573,4,0,1,4,12000,0,1,.net,0
124,124,8,1,0,1,1.4,0,573,4,0,1,4,12000,0,1,.net,0
125,125,10,1,0,1,1.4,0,573,4,0,1,4,12000,0,1,.net,0
126,126,10,1,1,1,1.4,0,573,4,0,1,4,12000,0,1,.net,0
127,127,8,1,1,1,1.4,0,573,4,0,1,4,12000,0,1,.net,0
128,128,10,1,0,1,1.4,0,573,4,0,1,4,12000,0,1,.net,0
129,129,10,1,1,1,1.4,0,573,4,0,1,4,12000,0,1,.net,0
130,130,10,1,1,1,1.4,0,573,4,0,1,4,12000,0,1,.net,0
131,131,8,1,1,1,1.4,0,573,4,0,1,4,12000,0,1,.net,0
132,132,7,1,0,1,1.4,0,573,4,0,1,4,12000,0,1,.net,0
133,133,7,1,0,1,1.4,0,573,4,0,1,4,12000,0,1,.net,0
134,134,7,1,0,1,1.4,0,573,4,0,1,4,12000,0,1,.net,0
135,135,8,1,1,1,1.4,0,573,4,0,1,4,12000,0,1,.net,0
136,136,8,1,0,1,1.4,0,573,4,0,1,4,12000,0,1,.net,0
137,137,9,1,0,61,4.5,0,293,8,0,1,4,22000,0,1,.net,1
138,138,10,1,1,61,4.5,0,293,8,0,1,4,22000,0,1,angular,1
139,139,10,1,0,61,4.5,0,293,8,0,1,4,22000,0,1,angular,1
140,140,8,1,0,61,4.5,0,293,8,0,1,4,22000,0,1,angular,1
141,141,8,1,1,61,4.5,0,293,8,0,1,4,22000,0,1,angular,1
142,142,9,1,0,61,4.5,0,293,8,0,1,4,22000,0,1,angular,1
143,143,10,1,0,61,4.5,0,293,8,0,1,4,22000,0,1,angular,1
144,144,10,1,0,61,4.5,0,293,8,0,1,4,22000,0,1,angular,1
145,145,10,1,0,61,4.5,0,293,8,0,1,4,22000,0,1,angular,1
146,146,9,1,0,61,4.5,0,293,8,0,1,4,22000,0,1,angular,1
147,147,9,1,0,61,4.5,0,293,8,0,1,4,22000,0,1,angular,1
148,148,9,1,1,61,4.5,0,293,8,0,1,4,22000,0,1,angular,1
149,149,7,1,1,61,4.5,0,293,8,0,1,4,22000,0,1,angular,1
150,150,9,1,1,61,4.5,0,293,8,0,1,4,22000,0,1,angular,1
151,151,9,1,0,61,4.5,0,293,8,0,1,4,22000,0,1,angular,1
152,152,10,1,0,61,4.5,0,293,8,0,1,4,22000,0,1,angular,1
153,153,6,2,0,112,1.8,0,463,2,0,1,4,23000,0,1,angular,1
154,154,6,2,0,112,1.8,0,463,2,0,1,4,23000,0,1,angular,1
155,155,6,2,0,112,1.8,0,463,2,0,1,4,23000,0,1,angular,1
156,156,6,2,0,112,1.8,0,463,2,0,1,4,23000,0,1,angular,1
157,157,9,2,1,112,1.8,0,463,2,0,1,4,23000,0,1,angular,1
158,158,9,2,1,112,1.8,0,463,2,0,1,4,23000,0,1,angular,1
159,159,7,2,0,112,1.8,0,463,2,0,1,4,23000,0,1,angular,1
160,160,7,2,0,112,1.8,0,463,2,0,1,4,23000,0,1,angular,1
161,161,7,2,1,112,1.8,0,463,2,0,1,4,23000,0,1,angular,1
162,162,9,2,1,112,1.8,0,463,2,0,1,4,23000,0,1,angular,1
163,163,9,2,1,112,1.8,0,463,2,0,1,4,23000,0,1,angular,1
164,164,9,2,1,112,1.8,0,463,2,0,1,4,23000,0,1,angular,1
165,165,10,2,1,112,1.8,0,463,2,0,1,4,23000,0,1,angular,1
166,166,10,2,0,112,1.8,0,463,2,0,1,4,23000,0,1,angular,1
167,167,9,2,0,112,1.8,0,463,2,0,1,4,23000,0,1,angular,1
168,168,8,2,0,112,1.8,0,463,2,0,1,4,23000,0,1,angular,1
169,169,5,2,1,112,1.8,0,463,2,0,1,4,23000,0,1,angular,1
170,170,10,1,0,69,1.6,0,277,6,0,1,4,18000,0,1,angular,0
171,171,8,1,1,69,1.6,0,277,6,0,1,4,18000,0,1,angular,0
172,172,8,1,0,69,1.6,0,277,6,0,1,4,18000,0,1,angular,0
173,173,8,1,0,69,1.6,0,277,6,0,1,4,18000,0,1,angular,0
174,174,10,1,0,69,1.6,0,277,6,0,1,4,18000,0,1,angular,0
175,175,10,1,1,69,1.6,0,277,6,0,1,4,18000,0,1,angular,0
176,176,8,1,1,69,1.6,0,277,6,0,1,4,18000,0,1,angular,0
177,177,10,1,0,69,1.6,0,277,6,0,1,4,18000,0,1,angular,0
178,178,10,1,1,69,1.6,0,277,6,0,1,4,18000,0,1,angular,0
179,179,10,1,1,69,1.6,0,277,6,0,1,4,18000,0,1,angular,0
180,180,8,1,1,69,1.6,0,277,6,0,1,4,18000,0,1,angular,0
181,181,7,1,0,69,1.6,0,277,6,0,1,4,18000,0,1,angular,0
182,182,7,1,0,69,1.6,0,277,6,0,1,4,18000,0,1,angular,0
183,183,7,1,0,69,1.6,0,277,6,0,1,4,18000,0,1,angular,0
184,184,8,1,1,69,1.6,0,277,6,0,1,4,18000,0,1,angular,0
185,185,8,1,0,69,1.6,0,277,6,0,1,4,18000,0,1,angular,0
186,186,5,NP,0,15,9.8,0,277,12,0,1,3,3300,0,0,java,1
187,187,10,1,1,30,10.2,0,431,19,0,1,3,4500,0,0,java,1
188,188,10,1,1,21,15.7,0,528,14,0,1,3,4600,0,0,java,1
189,189,7,3,1,20,8.8,0,314,18,0,1,3,3800,0,0,java,1
190,190,8,2,0,28,17.9,0,376,18,0,1,3,4100,0,0,java,1
191,191,9,1,1,20,16.8,0,610,20,0,1,3,6100,0,0,java,1
192,192,10,1,0,24,14.6,0,192,13,0,1,3,4100,0,0,java,1
193,193,5,NP,1,25,18.8,0,422,23,0,1,3,5000,0,0,java,1
194,194,8,3,1,23,15.1,0,697,28,0,1,3,5500,0,0,java,1
195,195,9,2,1,23,8.9,0,425,14,0,1,3,4200,0,0,java,1
196,196,10,1,1,19,32.7,0,452,12,0,1,3,6000,0,0,java,1
197,197,10,1,1,20,8.3,0,431,14,0,1,3,3900,0,0,java,1
198,198,10,1,1,28,20.4,0,742,92,0,1,3,6400,0,0,java,1
199,199,9,3,0,28,25.2,0,1200,22,0,1,3,7800,0,0,java,1
200,200,7,12,0,7,45.9,0,2600,0,0,1,3,24000,0,0,java,1
201,201,7,7,0,15,13.1,0,153,19,0,1,3,3500,0,0,java,1
202,202,10,1,1,21,1.2,0,135,4,0,1,3,3100,0,0,java,1
203,203,7,4,1,28,13.4,0,241,7,0,1,3,3900,0,0,java,1
204,204,9,3,1,20,13.4,0,198,7,0,1,3,3900,0,0,java,1
205,205,10,2,1,28,11.1,0,252,7,0,1,3,4000,0,0,java,1
206,206,7,4,0,15,8.4,0,276,12,0,1,3,4400,0,0,java,1
207,207,8,2,0,20,11.9,0,406,37,0,1,3,5000,0,0,java,1
208,208,6,4,1,30,10.6,0,289,12,0,1,3,4700,0,0,java,0
209,209,9,2,1,24,10.1,0,386,17,0,1,3,4800,0,0,java,0
210,210,5,NP,0,17,22.1,0,406,8,0,1,3,4100,0,0,java,0
211,211,10,1,0,21,14.0,0,321,13,0,1,3,3800,1,0,java,0
212,212,10,1,0,13,14.3,0,153,0,0,1,3,4700,1,0,java,0
213,213,9,4,0,19,13.1,0,378,22,0,1,3,5000,1,0,java,0
214,214,9,4,0,30,10.2,0,431,19,0,1,3,4500,1,0,java,0
215,215,5,NP,1,23,26.1,0,375,24,0,1,3,5200,1,0,java,0
216,216,7,5,0,9,16.4,0,201,18,0,1,3,4800,1,0,java,0
217,217,10,2,1,25,20.6,0,459,9,0,1,3,4300,1,0,java,0
218,218,9,2,1,32,9.6,0,493,13,0,1,3,5300,1,0,java,0
219,219,8,2,1,22,13.7,0,348,10,0,1,3,4600,1,0,java,0
220,220,8,5,1,26,20.7,0,468,21,0,1,3,4700,1,0,java,0
221,221,6,6,1,21,24.4,0,252,4,0,1,3,4500,1,0,java,0
222,222,7,4,0,9,9.5,0,359,27,0,1,3,4800,1,0,java,0
223,223,8,3,1,23,8.8,0,306,22,0,1,3,4900,1,0,java,0
224,224,10,1,0,21,11.1,0,658,14,0,1,3,5600,1,0,java,0
225,225,10,1,1,21,9.7,0,316,11,0,1,3,4300,1,0,java,0
226,226,9,2,1,21,7.8,0,388,8,0,1,3,4800,1,0,java,1
227,227,9,2,0,25,5.9,0,156,1,0,1,3,3600,1,0,java,1
228,228,10,1,1,21,21.6,0,434,10,0,1,3,4500,1,0,java,1
229,229,9,1,1,22,17.5,0,510,16,0,1,3,4900,1,0,java,1
230,230,5,NP,0,21,10.8,0,384,9,0,1,3,4500,1,0,java,1
231,231,8,5,1,22,11.1,0,369,13,0,1,3,4000,1,0,java,1
232,232,10,1,1,22,13.4,0,397,9,0,1,3,4100,1,0,java,1
233,233,9,3,0,22,17.3,0,310,6,0,1,3,5300,1,0,java,1
234,234,6,5,1,26,6.7,0,215,11,0,1,3,3500,1,0,java,1
235,235,9,2,0,20,9.9,0,421,10,0,1,3,5000,1,0,java,1
236,236,8,4,0,22,9.1,0,194,11,0,1,3,3200,1,0,java,1
237,237,10,1,0,25,22.4,0,221,11,0,1,3,4500,1,0,java,1
238,238,10,2,0,23,20.1,0,362,11,0,1,3,4200,1,0,java,1
239,239,9,2,1,21,10.6,0,378,20,0,1,3,5300,1,0,java,1
240,240,9,2,1,21,6.9,0,153,9,0,1,3,3400,1,0,java,1
241,241,8,3,0,30,11.3,0,181,12,0,1,3,3700,1,0,java,1
242,242,9,3,1,24,19.7,0,244,7,0,1,3,4200,1,0,java,0
243,243,9,3,1,23,13.2,0,219,13,0,1,3,3400,1,0,java,0
244,244,9,1,0,20,8.7,0,306,18,0,1,3,4700,1,0,java,0
245,245,7,2,0,28,8.1,0,382,21,0,1,3,5100,1,0,java,0
